12

20

0	-1.7686959E-7	4.523519E-9	1.0              0 0 0 0.0 0.0 0.0e+0    
1	0.72360647	0.52573115	0.44721416       0 0 0 0.0 0.0 0.0    
2	-0.27639318	0.8506508	0.44721368       0 0 0 0.0 0.0 0.0    
3	-0.89442724	4.523521E-9	0.44721356       0 0 0 0.0 0.0 0.0    
4	-0.27639318	 -0.8506508	 0.44721368 	 0 0 0 0.0 0.0 0.0    
5	0.72360647	-0.52573115	0.44721416 	 0 0 0 0.0 0.0 0.0    
6	0.89442724	4.4632675E-9	-0.44721353 	 0 0 0 0.0 0.0 0.0    
7	0.27639318	0.8506508	-0.44721362 	 0 0 0 0.0 0.0 0.0    
8	-0.72360647	 0.52573115	-0.4472141 	 0 0 0 0.0 0.0 0.0    
9	-0.7236064	-0.52573115	-0.4472141 	 0 0 0 0.0 0.0 0.0    
10	0.27639318	-0.8506508	-0.44721362 	 0 0 0 0.0 0.0 0.0    
11	1.7325074E-7	4.5235184E-9	-1.0		 0 0 0 0.0 0.0 -0.0e+0    

0  5  1 
0  2  1 
0  3  2 
0  4  3 
0  5  4 
1  6  5 
1  7  6 
1  2  7 
2  8  7 
2  3  8 
3  9  8 
3  4  9 
4 10  9 
4  5 10 
5  6 10 
6  7 11 
6 11 10 
7  8 11 
8  9 11 
11 9 10 









