42

80

     0    -1.580034487241799e-07     3.001930063805113e-09        0.7675721655036145     0     0     0     0     0     0.0e1
     1        0.5554201316416787        0.4035365305049909        0.3432690456321534     0     0     0     0     0     0
     2        -0.212151707408037        0.6529357943317325        0.3432687094315579     0     0     0     0     0     0
     3       -0.6865372994408016     3.001931064580118e-09        0.3432685692491853     0     0     0     0     0     0
     4       -0.2121517015215116       -0.6529357928101431        0.3432687094315579     0     0     0     0     0     0
     5        0.5554201316416788       -0.4035365289935353        0.3432690456321535     0     0     0     0     0     0
     6         0.686537305023006     2.967012082301103e-09       -0.3432685316807955     0     0     0     0     0     0
     7        0.2121517071037163        0.6529357943266656       -0.3432686569999475     0     0     0     0     0     0
     8       -0.5554201260594742        0.4035365305100578       -0.3432689932005431     0     0     0     0     0     0
     9       -0.5554200913786261       -0.4035365289884685       -0.3432689932005431     0     0     0     0     0     0
    10        0.2121517129902416         -0.65293579281521       -0.3432686569999475     0     0     0     0     0     0
    11      1.61792727769074e-07     2.996862818065757e-09       -0.7675721427984453     0     0     0     0     0     -0.0e1
    12        0.3272540211739037        0.2377641391963196        0.6545087900000001     0     0     0     0     0     0
    13        0.6545082353913012          1.1233483125e-09             0.40450892875     0     0     0     0     0     0
    14        0.3272540211739037       -0.2377641358036804        0.6545087900000001     0     0     0     0     0     0
    15       -0.1250001050760962        0.3847104460117597               0.654508595     0     0     0     0     0     0
    16        0.2022541091413012        0.6224745818154399              0.4045087375     0     0     0     0     0     0
    17       -0.4045085763260962     3.392640000001086e-09               0.654508505     0     0     0     0     0     0
    18       -0.5295084883586988        0.3847104460117602              0.4045084525     0     0     0     0     0     0
    19       -0.1250001050760962       -0.3847104414882403               0.654508595     0     0     0     0     0     0
    20       -0.5295084796086987       -0.3847104414882398              0.4045084525     0     0     0     0     0     0
    21        0.2022541091413012       -0.6224745806845602              0.4045087375     0     0     0     0     0     0
    22        0.7317625974999999        0.2377641391737253     3.037500000066529e-07     0     0     0     0     0     0
    23        0.7317625974999999       -0.2377641358262747     3.037500000066529e-07     0     0     0     0     0     0
    24             0.45225412625        0.6224745818079085     2.212500000153828e-07     0     0     0     0     0     0
    25        0.5295084879063425        0.3847104459891652            -0.40450841125     0     0     0     0     0     0
    26                         0              0.7694208875      3.00000000119649e-08     0     0     0     0     0     0
    27            -0.45225412625        0.6224745818154401     -1.64999999996418e-07     0     0     0     0     0     0
    28       -0.2022541095936575        0.6224745818154398              -0.404508685     0     0     0     0     0     0
    29            -0.73176258875        0.2377641391963204    -2.549999999976182e-07     0     0     0     0     0     0
    30            -0.73176257125       -0.2377641358036796    -2.549999999976182e-07     0     0     0     0     0     0
    31       -0.6545082095936575           1.130879925e-09               -0.40450888     0     0     0     0     0     0
    32                -0.4522541         -0.62247458068456     -1.64999999996418e-07     0     0     0     0     0     0
    33      8.75000000233328e-09             -0.7694208875      3.00000000119649e-08     0     0     0     0     0     0
    34       -0.2022540833436575       -0.6224745806845602              -0.404508685     0     0     0     0     0     0
    35             0.45225412625       -0.6224745806920916     2.212500000153828e-07     0     0     0     0     0     0
    36        0.5295084879063425       -0.3847104415108349            -0.40450841125     0     0     0     0     0     0
    37        0.1250001037190275        0.3847104460042279            -0.65450856125     0     0     0     0     0     0
    38        0.4045085749690275      3.37004471250295e-09            -0.65450847875     0     0     0     0     0     0
    39        0.1250001124690275       -0.3847104414957722            -0.65450856125     0     0     0     0     0     0
    40       -0.3272540137809725        0.2377641391963194             -0.6545087525     0     0     0     0     0     0
    41       -0.3272539962809725       -0.2377641358036806             -0.6545087525     0     0     0     0     0     0



        12        14        13
        13        12         1
        14        13         5
        12        14         0
        15        16        12
        12         0        15
        16        15         2
         1        12        16
        15        17        18
        15         0        17
        18        17         3
        18         2        15
        17        19        20
        17         0        19
        20        19         4
        20         3        17
        21        19        14
        21         4        19
        14        19         0
        14         5        21
        22        23        13
        13         1        22
        23        22         6
         5        13        23
        22        24        25
        22         1        24
        25        24         7
        25         6        22
        24        16        26
        26         7        24
        16        24         1
         2        26        16
        27        28        26
        26         2        27
        28        27         8
         7        26        28
        29        27        18
        29         8        27
        18        27         2
        18         3        29
        29        30        31
        29         3        30
        31        30         9
        31         8        29
        32        30        20
        32         9        30
        20        30         3
        20         4        32
        32        33        34
        32         4        33
        33        10        34
        34         9        32
        21        35        33
        33        35        10
        33         4        21
        21         5        35
        35        23        36
        36        10        35
        23        35         5
         6        36        23
        37        38        25
        25         7        37
        38        37        11
         6        25        38
        38        39        36
        10        36        39
        38        36         6
        11        39        38
        37        28        40
        40        11        37
        28        37         7
         8        40        28
        41        40        31
        11        40        41
        31        40         8
        31         9        41
        34        39        41
        41         9        34
        10        39        34
        39        11        41
