#Mean filament length = 2.0001
#L	Freq
2	3528
2.0001	6
2.0002	8
2.00029	9
2.00039	2
2.00049	5
2.00059	13
2.00069	5
2.00078	2
2.00088	10
2.00098	8
2.00108	12
2.00118	7
2.00128	5
2.00137	9
2.00147	8
2.00157	6
2.00167	6
2.00177	8
2.00186	8
2.00196	7
2.00206	9
2.00216	7
2.00226	7
2.00235	7
2.00245	8
2.00255	11
2.00265	8
2.00275	12
2.00285	8
2.00294	5
2.00304	0
2.00314	0
2.00324	0
2.00334	0
2.00343	0
2.00353	0
2.00363	0
2.00373	0
2.00383	0
2.00392	0
2.00402	0
2.00412	0
2.00422	0
2.00432	0
2.00442	0
2.00451	0
2.00461	0
2.00471	0
2.00481	0
2.00491	0
2.005	0
2.0051	0
2.0052	0
2.0053	0
2.0054	1
