#Nematic order parameter = -0.0157925
#theta	Freq
-2.93215	231
-2.51327	229
-2.0944	237
-1.67552	228
-1.25664	272
-0.837758	269
-0.418879	254
-1.38778e-16	237
0.418879	247
0.837758	244
1.25664	250
1.67552	262
2.0944	278
2.51327	254
2.93215	263
